project_id,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,budget_usd,actual_cost_usd,team_size,complexity,risk_level,status,success,satisfaction_score
PRJ_0243,2019-09-11,2020-03-20,2020-06-07,191,270,83812.0,75758.37,40,5,1,Completed,0,2
PRJ_0244,2022-06-04,2022-10-11,2022-12-06,129,185,377684.94,389236.25,19,7,3,Cancelled,0,1
PRJ_0245,2022-02-09,2022-12-17,2022-11-29,311,293,272971.09,302202.11,47,4,5,Completed,0,3
PRJ_0246,2020-05-24,2021-09-10,2022-01-01,474,587,359781.08,336448.05,27,4,3,Completed,0,4
PRJ_0247,2019-04-09,2020-08-25,2020-08-14,504,493,245672.3,255560.8,10,4,5,Completed,0,4
PRJ_0248,2019-06-02,2020-01-29,2020-01-13,241,225,160880.91,146929.52,50,6,3,Completed,1,5
PRJ_0249,2021-07-02,2022-02-13,2022-06-10,226,343,418596.04,389893.5,48,7,2,Completed,0,4
PRJ_0250,2021-05-27,2021-10-24,2022-02-10,150,259,409737.15,433817.12,47,2,3,Cancelled,0,1
PRJ_0251,2019-12-04,2021-07-16,2021-07-08,590,582,362613.41,345601.88,49,5,2,Completed,1,5
PRJ_0252,2021-04-01,2021-07-08,2021-10-25,98,207,172465.31,194371.22,25,4,3,Completed,0,4
PRJ_0253,2022-04-01,2022-10-03,2022-12-05,185,248,315603.8,371082.53,27,3,5,Completed,0,3
PRJ_0254,2021-08-14,2023-01-06,2023-02-19,510,554,212438.25,259224.52,47,7,5,Completed,0,2
PRJ_0255,2019-06-10,2020-01-28,2020-03-10,232,274,91211.93,89393.18,20,6,5,Completed,0,4
PRJ_0256,2021-03-11,2023-02-21,2023-05-12,712,792,462791.11,447515.78,19,7,4,Completed,0,3
PRJ_0257,2020-02-02,2020-11-07,2020-12-29,279,331,111568.38,105078.13,29,5,1,Completed,0,2
PRJ_0258,2021-03-26,2023-02-21,2023-02-17,697,693,477606.81,551431.5,40,6,5,Cancelled,0,2
PRJ_0259,2022-03-04,2022-06-29,2022-06-17,117,105,250702.6,296478.46,15,5,2,Completed,0,4
PRJ_0260,2022-05-03,2024-04-21,2024-05-08,719,736,133309.82,121663.13,19,7,5,Completed,0,4
PRJ_0261,2020-02-05,2021-07-24,2021-10-05,535,608,293855.43,374514.3,8,2,4,Completed,0,2
PRJ_0262,2020-10-01,2022-02-28,2022-05-13,515,589,442825.63,407748.75,25,5,2,Cancelled,0,1
PRJ_0263,2021-11-22,2023-01-16,2023-02-13,420,448,379501.2,423720.12,17,6,4,Completed,0,2
PRJ_0264,2020-11-18,2021-01-17,2021-03-06,60,108,412952.52,488780.6,26,6,2,Completed,0,3
PRJ_0265,2020-04-04,2021-06-24,2021-08-04,446,487,346452.52,432507.04,23,5,3,Completed,0,3
PRJ_0266,2021-08-12,2022-09-23,2022-11-19,407,464,361524.45,428635.96,38,10,1,Completed,0,3
PRJ_0267,2020-04-14,2020-12-19,2021-03-25,249,345,432138.04,527507.12,18,7,1,Completed,0,2
PRJ_0268,2021-11-11,2023-05-29,2023-09-05,564,663,162350.6,168159.52,8,10,4,Completed,0,4
PRJ_0269,2021-01-19,2021-09-26,2022-01-20,250,366,270241.23,331296.85,50,8,1,Cancelled,0,1
PRJ_0270,2019-02-07,2020-08-27,2020-10-21,567,622,149544.25,139382.11,31,7,4,Completed,0,3
PRJ_0271,2019-08-18,2020-10-19,2020-11-02,428,442,494450.6,621982.6,33,5,4,Completed,0,3
PRJ_0272,2020-07-16,2021-10-27,2021-10-07,468,448,474826.7,531348.63,32,1,4,Completed,0,4
PRJ_0273,2020-03-13,2020-09-05,2020-09-24,176,195,67742.07,83114.03,39,5,1,Completed,0,4
PRJ_0274,2019-01-27,2019-08-08,2019-09-20,193,236,367508.83,397250.33,12,10,4,Completed,0,3
PRJ_0275,2019-08-14,2019-12-09,2020-01-17,117,156,466361.74,539781.57,20,2,1,Completed,0,3
PRJ_0276,2021-03-08,2022-11-13,2022-12-26,615,658,131258.91,145771.03,46,5,4,Completed,0,4
PRJ_0277,2019-10-11,2020-05-30,2020-08-10,232,304,305575.35,364440.11,40,5,5,Completed,0,2
PRJ_0278,2021-05-28,2021-12-22,2022-02-11,208,259,461969.73,430856.99,34,2,4,Completed,0,3
PRJ_0279,2021-08-17,2022-01-03,2021-12-24,139,129,65275.69,60323.93,22,5,2,Completed,1,5
PRJ_0280,2020-03-28,2020-12-25,2021-03-19,272,356,363839.12,363417.54,6,4,4,Completed,0,4
PRJ_0281,2021-10-16,2022-07-05,2022-06-28,262,255,183807.05,177156.52,17,1,3,Completed,1,4
PRJ_0282,2021-03-26,2022-01-08,2022-02-16,288,327,465978.29,581873.34,8,3,4,Completed,0,4
PRJ_0283,2020-10-20,2021-08-02,2021-08-11,286,295,486976.21,480979.39,30,1,2,Completed,0,4
PRJ_0284,2020-06-30,2022-06-18,2022-07-02,718,732,474919.92,612811.07,29,5,2,Completed,0,2
PRJ_0285,2022-04-30,2023-12-12,2023-11-26,591,575,263396.4,272551.61,34,4,1,Completed,0,4
PRJ_0286,2021-12-08,2023-04-22,2023-06-23,500,562,437919.19,426028.45,15,7,5,Completed,0,3
PRJ_0287,2019-01-17,2020-04-22,2020-08-02,461,563,430047.23,522885.57,11,5,4,Completed,0,2
PRJ_0288,2022-04-10,2022-07-25,2022-09-20,106,163,193595.21,225244.76,35,10,1,Completed,0,4
PRJ_0289,2022-05-28,2023-03-16,2023-04-26,292,333,423011.96,465007.87,48,4,5,Completed,0,2
PRJ_0290,2019-06-07,2020-06-05,2020-09-24,364,475,66653.44,74794.85,14,2,4,Completed,0,3
PRJ_0291,2020-04-21,2021-11-27,2022-02-03,585,653,318321.45,378064.24,43,4,3,Completed,0,4
PRJ_0292,2021-12-05,2022-06-25,2022-07-16,202,223,153503.98,152181.06,17,2,4,Completed,0,3
PRJ_0293,2020-06-01,2021-09-18,2021-11-25,474,542,104255.1,135378.75,35,8,2,Completed,0,4
PRJ_0294,2019-04-09,2020-11-01,2020-11-20,572,591,84628.94,109164.33,11,3,2,Completed,0,4
PRJ_0295,2021-11-26,2023-02-01,2023-03-24,432,483,363329.95,421510.07,46,9,3,Completed,0,4
PRJ_0296,2019-10-07,2021-06-23,2021-07-11,625,643,202943.73,198847.72,46,4,1,Completed,0,4
PRJ_0297,2020-05-11,2021-03-25,2021-06-16,318,401,376145.05,440876.34,40,6,5,Completed,0,4
PRJ_0298,2019-10-29,2021-10-13,2021-10-06,715,708,79410.35,73762.64,24,10,4,Completed,1,4
PRJ_0299,2019-06-30,2020-12-11,2020-12-22,530,541,191880.65,175045.24,8,5,2,Completed,0,4
PRJ_0300,2020-08-29,2020-11-08,2021-02-20,71,175,292771.08,293670.81,11,10,1,Completed,0,4
